"Configuration","Konfiguration"
"General Options","Allgemeine Optionen"
"Enable Extension","Extension aktivieren"
"Enable/Disable the Sitewards Giveaway Extension","Aktivieren oder Deaktiveren der Sitewards Giveaway-Extension"
"Product Idetifier","Produktattribut"
"Attribute that identifies a product as a giveaway","Attribut, um Produkte als Giveaways zu kennzeichnen"
"Giveaway Count","Giveawayanzahl"
"Product Count","Produktanzahl"
"Number of giveaway products allowed per cart","Anzahl der Giveaway-Produkte, die pro Warenkorb erlaubt sind"
"Forward to Giveaway Page","Zu Giveaway-Seite weiterleiten"
"Should users be forwarded to giveaways page after adding a product to the cart?","Sollen die Kunden zu Giveaway-Seite weitergeleitet werden, nachdem sie ein Produkt in den Warenkorb gelegt haben?"
"Number of products required in cart to add giveaways","Anzahl an normalen Produkten, die im Warenkorb benötigt werden, um Giveaways hinzuzufügen"
"Min. total required in cart to add giveaways","Mindeststumme die benötigt wird, um Giveaways in den Warenkorb hinzuzufügen"
"Cannot add item(s) to your shopping cart.","Das Produkt kann leider nicht zum Warenkorb hinzugefügt werden."
"You can have only %s giveaway item(s) per cart.","Sie können nur %s Giveaway(s) pro Warenkorb haben."
"The total number of items in your cart must be at least %s.","Sie müssen mindestens %s Produkte in Ihrem Warenkorb haben."
"The total of the cart must be at least %s.","Die Gesamtsumme Ihres Warenkorbs muss mindestens %s betragen."
